INDICATEURS CLES,ITURI,NORD-KIVU,SUD-KIVU
Proportion des nouveaux cas confirmés ayant bénéficié d'interventions SMSPS,"3 (9,7%)",0,1(100 %)
Proportion des cas confirmés en cours de suivi ayant bénéficié d'interventions SMSPS,"30 (31,3%)",6 (100%),5 (100 %)
Proportion nouveaux cas suspects ayant bénéficié d'interventions SMSPS,"5 (18,5%)",0,""
Proportion cas suspects en cours de suivi ayant bénéficié d'interventions SMSPS,"32 (24,1%)",28(100%),""
Proportion Résultats de laboratoire ayant été annoncé,11,0,5
Dont positifs,"4 (36,4%)",0,""
Proportion Enfants séparés en crèche ayant bénéficié d'interventions SMSPS,"1 (100,0%)",0,4(100 %)
Proportion Enfants séparés en communauté ayant bénéficié d'interventions SMSPS,"",0,""
Nb Accompagnants au CTE ayant bénéficié d'interventions SMSPS,7,"",10
Nb PPL ayant bénéficié d'interventions SMSPS,14,16,1
Nb des ménages et communautés ayant bénéficié d'interventions SMSPS,26,"",""
Proportion des malades ayant bénéficié des Kit de dignité au CTE,0,0,0
