Province / Zone de santé,Cas confirmés cumulés (n),Décès confirmés cumulés (n),Létalité (%)
ITURI Bunia,215,20,"9,3%"
ITURI Rwampara,159,27,"17,0%"
ITURI Mongbwalu,185,83,"44,9%"
ITURI Nyankunde,45,4,"8,9%"
ITURI Bambu,7,2,"28,6%"
ITURI Aru,3,1,"33,3%"
ITURI Kilo,4,1,"25,0%"
ITURI Nizi,16,1,"6,3%"
ITURI Mangala,5,3,"60,0%"
ITURI Damas,4,0,"0,0%"
ITURI Aungba,2,1,"50,0%"
ITURI Gety,1,0,"0,0%"
ITURI Komanda,7,1,"14,3%"
ITURI Lita,9,0,"0,0%"
ITURI Logo,2,0,"0,0%"
ITURI Mambasa,2,1,"50,0%"
ITURI Rimba,3,0,"0,0%"
ITURI Tchomia,2,0,"0,0%"
ITURI Kambala,1,1,"100,0%"
ITURI Nia-Nia,1,1,"100,0%"
ITURI Autres ZS (données non ventilées),94,10,"10,6%"
ITURI Sous-total Ituri,767,157,"20,5%"
NORD-KIVU Katwa,25,16,"64,0%"
NORD-KIVU Beni,14,10,"71,4%"
NORD-KIVU Butembo,19,7,"36,8%"
NORD-KIVU Oicha,2,2,"100,0%"
NORD-KIVU Kalunguta,1,1,"100,0%"
NORD-KIVU Kyondo,2,1,"50,0%"
NORD-KIVU Goma,1,0,"0,0%"
NORD-KIVU Masereka,1,0,"0,0%"
NORD-KIVU Vuhovi,1,1,"100,0%"
NORD-KIVU Mabalako,1,0,"0,0%"
NORD-KIVU Sous-total Nord-Kivu,67,38,"56,7%"
SUD-KIVU Miti-Murhesa,3,1,"33,3%"
SUD-KIVU Sous-total Sud-Kivu,3,1,"33,3%"
TOTAL,837,196,"23,4%"
