INDICATEURS CLES,ITURI,SUD-KIVU,NORD-KIVU
Nouveaux cas confirmés admis au CTE ayant bénéficié d'interventions SMSPS,2(10%),1(100%),0
Cas confirmés en cours de suivi ayant bénéficié d'interventions SMSPS,"53(40,2%)",0,2(100%)
Nouveaux cas suspects ayant bénéficié d'interventions SMSPS,"20(42,6%)",3(100%),2(100%)
Cas suspects en cours de suivi ayant bénéficié d'interventions SMSPS,"54 (43,5%)",5 (100%),4(100%)
Résultats de laboratoire ayant été annoncé,13,2,0
Dont positifs,3,1,0
Nb Enfants séparés en crèche ayant bénéficié d'interventions SMSPS,1 (100%),0,1(100%)
Nb Enfants séparés en communauté ayant bénéficié d'interventions SMSPS,0,0,13
Nb Accompagnants au CTE ayant bénéficié d'interventions SMSPS,36,7,0
Nb PPL ayant bénéficié d'interventions SMSPS,9,14,12
Nb Membres des ménages et communautés ayant bénéficié d'interventions SMSPS,101,12,0
Nbre d'EDS appuyés,3,0,0
