Province / Zone de santé,Cas (n),Décès (n),Létalité,Nouv. cas,Décès communautaires (Swab+).,Décès confirmés intra-CTE,Total décès confirmés
Ituri,3 317,1 382,"","","","",""
Ituri Adja,11,1,"41,5%",49,13,10,23
Ituri Aru,5,5,"9,1%",0,0,0,0
Ituri Ariwara,7,2,"100,0%",0,0,0,0
Ituri Aungba,10,5,"28,6%",0,0,0,0
Ituri Bambu,64,15,"55,6%",0,0,0,0
Ituri Boga,1,1,"21,7%",0,0,1,1
Ituri Bunia,914,270,"100,0%",0,0,0,0
Ituri Damas,18,8,"29,0%",9,2,1,3
Ituri Drodro,11,6,"44,4%",1,0,0,0
Ituri Fataki,35,17,"54,5%",1,0,0,0
Ituri Gethy,1,0,"48,6%",0,0,0,0
Ituri Kambala,2,0,"0,0%",0,0,0,0
Ituri Kilo,29,11,"0,0%",0,0,0,0
Ituri Komanda,37,27,"37,9%",0,0,0,0
Ituri Lita,141,84,"73,0%",1,1,1,2
Ituri Logo,9,4,"58,4%",5,0,1,1
Ituri Lolwa,7,2,"33,3%",0,0,0,0
Ituri Mahagi,4,1,"28,6%",0,0,0,0
Ituri Mambasa,10,6,"25,0%",0,0,0,0
Ituri Mandima,16,12,"60,0%",1,0,0,0
Ituri Mangala,105,66,"75,0%",0,0,0,0
Ituri Mongbwalu,552,263,"62,9%",3,2,0,2
Ituri Nia-Nia,104,57,"47,5%",5,2,0,2
Ituri Nizi,402,194,"54,4%",2,1,2,3
Ituri Nyankunde,115,34,"48,4%",10,3,2,5
Ituri Rimba,9,4,"29,6%",0,0,2,2
Ituri Rwampara,655,263,"44,4%",0,0,0,0
Ituri Tchomia,43,24,"40,4%",11,2,0,2
Nord-Kivu,414,285,"58,5%",0,0,0,0
Nord-Kivu Beni,64,49,"65,5%",22,7,4,11
Nord-Kivu Butembo,87,69,"80,3%",4,1,2,3
Nord-Kivu Goma,1,0,"76,1%",5,1,1,2
Nord-Kivu Kalunguta,7,4,"0,0%",0,0,0,0
Nord-Kivu Katwa,186,122,"50,0%",0,0,0,0
Nord-Kivu Kyondo,13,10,"60,0%",12,5,1,6
Nord-Kivu Lubero,1,1,"61,5%",0,0,0,0
Nord-Kivu Mabalako,1,0,"0,0%",0,0,0,0
Nord-Kivu Masereka,5,1,"0,0%",0,0,0,0
Nord-Kivu Musienene,43,25,"56,1%",1,0,0,0
Nord-Kivu Oicha,4,3,"75,0%",0,0,0,0
Nord-Kivu Vuhovi,2,1,"100,0%",0,0,0,0
Haut-Uélé,61,34,"33,3%",0,0,0,0
Haut-Uélé Boma Mangbetu,13,4,"33,3%",0,0,0,0
Haut-Uélé Isiro,19,11,"50,0%",3,0,2,2
Haut-Uélé Pawa,12,10,"33,3%",0,0,0,0
Haut-Uélé Rungu,1,0,"47,4%",0,0,0,0
Haut-Uélé Wamba,16,9,"75,0%",2,0,2,2
Tshopo,7,5,"0,0%",0,0,0,0
Tshopo Kabondo,1,1,"50,0%",1,0,0,0
Tshopo Lubunga,1,0,"71,4%",0,0,0,0
Tshopo Makiso-Kisangani,3,3,"100,0%",0,0,0,0
Tshopo Mangobo,1,1,"0,0%",0,0,0,0
Tshopo Wanie-Rukula,1,0,"100,0%",0,0,0,0
Sud-Kivu,3,1,"100,0%",0,0,0,0
Sud-Kivu Miti-Murhesa,3,1,"0,0%",0,0,0,0
Total,3 802,1 707,"44,2%",58,40,32,72
