Province / Zone de santé,Nombre cumulatif Cas (n),Nombre cumulatif Décès (n),Nombre cumulatif Létalité,Situation du jour (24h) Nouv. Cas,Situation du jour (24h) Décès communautaires (Swab+),Situation du jour (24h) Décès confirmés intra-CTE,Situation du jour (24h) Total décès confirmés
Ituri,3814,1653,"43,3%",53,21,12,33
Adja,11,1,"9,1%","","","",0
Aru,7,6,"85,7%","","","",0
Ariwara,7,2,"28,6%","","","",0
Aungba,10,5,"50,0%","","","",0
Bambu,93,22,"23,7%",1,0,"",0
Boga,1,1,"100,0%","","","",0
Bunia,1043,317,"30,4%",22,7,"",7
Damas,18,8,"44,4%","","","",0
Drodro,12,6,"50,0%","","","",0
Fataki,55,29,"52,7%",1,0,"",0
Gethy,2,1,"50,0%","","","",0
Kambala,2,0,"0,0%","","","",0
Kilo,29,11,"37,9%","","","",0
Komanda,42,29,"69,0%","","","",0
Lita,163,96,"58,9%","","","",0
Logo,11,5,"45,5%","","","",0
Lolwa,11,4,"36,4%","","","",0
Mahagi,4,1,"25,0%","","","",0
Mambasa,13,6,"46,2%","","","",0
Mandima,19,13,"68,4%","","","",0
Mangala,116,74,"63,8%","","","",0
Mongbwalu,576,280,"48,6%",10,6,"",6
Nia-Nia,142,84,"59,2%",4,2,"",2
Nizi,489,227,"46,4%",10,4,"",4
Nyankunde,116,35,"30,2%","","","",0
Rimba,9,4,"44,4%","","","",0
Rwampara,765,303,"39,6%",5,2,"",2
Tchomia,48,24,"50,0%","","","",0
A ventiler,NA,59*,NA,"","",12,12
Nord-Kivu,510,354,"69,4%",15,10,7,17
Beni,78,60,"76,9%",2,2,1,3
Butembo,103,85,"82,5%",2,2,"",3
Goma,1,0,"0,0%","","","",0
Kalunguta,10,4,"40,0%","","","",0
Katwa,239,156,"65,3%",10,5,5,10
Kyondo,13,10,"76,9%","","","",0
Lubero,1,1,"100,0%","","","",0
Mabalako,1,0,"0,0%","","","",0
Masereka,7,4,"57,1%","","","",0
Musienene,49,29,"59,2%","","",1,1
Oicha,5,4,"80,0%","","","",0
Vuhovi,3,1,"33,3%","","","",0
Haut-Uélé,113,48,"42,5%",ND,ND,ND,0
Boma Mangbetu,21,5,"23,8%",ND,ND,ND,0
Gombari,1,1,"100,0%",ND,ND,ND,0
Isiro,31,16,"51,6%",ND,ND,ND,0
Pawa,17,11,"64,7%",ND,ND,ND,0
Rungu,1,0,"0,0%",ND,ND,ND,0
Wamba,42,15,"35,7%",ND,ND,ND,0
Tshopo,9,5,"55,6%",0,0,0,0
Bafwasende,1,0,"0,0%","","","",0
Kabondo,2,1,"50,0%","","","",0
Lubunga,1,0,"0,0%","","","",0
Makiso-Kisangani,3,3,"100,0%","","","",0
Mangobo,1,1,"100,0%","","","",0
Wanie-Rukula,1,0,"0,0%","","","",0
Sud-Kivu,3,1,"33,3%",0,0,0,0
Miti-Murhesa,3,1,"33,3%","","","",0
Total,4449,2061,"46,3%",68,31,19,50
