Indicateurs,Ituri,Nord-Kivu,Sud-Kivu,Tshopo,Haut-Uélé,Bas-Uélé,Global
Complétude des rapports,"98,3 % (59/60)",100 % (18/18),"55,5 % (5/9)",85 % (17/20),45 % (5/11),"42,1 % (8/19)","81,8 % (112/137)"
% des PoE/PoC stratégiques fonctionnels,"9,09 % (1/11)",NA,NA,NA,NA,ND,"9,1 % (1/11)"
Nombre de personnes passées aux PoE/PoC,124 427,77 092,7 012,5 492,9 080,ND,223 103
% des voyageurs screenés,"98,0 %","96,79 %","98,6 %",100 %,"97,0 %",ND,"97,6 %"
% des voyageurs ayant lavé les mains,"98,0 %","96,79 %","98,6 %",100 %,"97,0 %",ND,"97,6 %"
% des voyageurs sensibilisés,"99,6 %","96,79 %",100 %,100 %,100 %,ND,"98,7 %"
Nombre d’alertes notifiées,5,2,0,0,0,0,7
Nombre d’alertes vivantes validées (cas suspects),3,0,0,0,0,0,3
Nombre de corps sans vie interceptés ce jour,2,2,0,0,0,0,4
% des cas suspects transférés au CT/CTE,100 % (3/3),0 %,0 %,0 %,0 %,0 %,100 % (3/3)
% des corps sans vie swabés/sécurisés,0 % (0/2),100 % (2/2),0 %,0 %,0 %,0 %,50 % (2/4)
% des cas suspects investigués dans 24 h,60 % (3/5),100 % (2/2),0 %,0 %,0 %,0 %,"71,4 % (5/7)"
