Indicateurs,Ituri,Nord-Kivu,Sud-Kivu,Tshopo,Haut-Uélé,Bas-Uélé,Global
Complétude des rapports,90% (54/60),100 % (19/19),"55,5% (5/9)",39% (7/18),"64,0% (7/11)",36% (9/25),"71,1% (101/142)"
% des PoE/PoC stratégiques fonctionnels,100%,100%,100%,100%,100%,100%,100%
Nombre de personnes passées aux PoE/PoC,146370,87959,11312,3693,11 288,4215,253549
% des voyageurs screenés,"98,00%","98,18%","99,00%","99,00%","98,00%","98,8%","98,50%"
% des voyageurs ayant lavé les mains,"98,00%","98,18%","99,00%","97,5%","98,00%","98,8%","99,09%"
% des voyageurs sensibilisés,"99,00%","98,18%","100,00%","100,00%","98,00%","95,8%","99,25%"
Nombre d’alertes notifiées,4,1,0,0,0,2,7
Nombre d’alertes vivantes validées (cas suspects),3,0,0,0,0,0,3
Nombre de corps sans vie interceptés ce jour,0,1,0,0,0,0,1
% des cas suspects transférés au CT/CTE,"66,7%",0%,-,-,-,-,"66,7%"
% des corps sans vie swabés/sécurisés,"",100%,-,-,-,-,100%
% des cas suspects investigués dans 24 h,100%,100%,-,-,-,100%,100%
