Indicateurs,Ituri,Nord-Kivu,Sud-Kivu,Tshopo,Haut-Uélé,Global
Complétude des rapports,"96,7% (58/60)","89,4% (17/19)","55,5% (5/9)",100% (18/18),"54,5% (6/11)","88,9% (104/117)"
% des PoE/PoC stratégiques fonctionnels,100%,100%,100%,100%,"54,0%",100%
Nombre de personnes passées aux PoE/PoC,129 849,88 717,7 181,15 704,11 132,252 583
% des voyageurs screenés,"98,0%","97,9%","98,9%","98,5%","98,0%","98,1%"
% des voyageurs ayant lavé les mains,"98,0%","97,9%","98,9%","99,4%","98,00%","98,0%"
% des voyageurs sensibilisés,"99,1%","97,9%","100,0%","100,0%","100,0%","98,8%"
Nombre d’alertes notifiées,1,0,0,0,0,1
Nombre d’alertes vivantes validées (cas suspects),1,0,0,0,0,1
Nombre de corps sans vie interceptés ce jour,0,0,0,0,0,0
% des cas suspects transférés au CT/CTE,100%,NA,NA,NA,NA,100%
% des corps sans vie swabés/sécurisés,NA,NA,NA,NA,NA,NA
% des cas suspects investigués dans 24 h,100%,NA,NA,NA,NA,100%
